province_id	province_name	ward_id	ward_name	total_uploaded
9	Thanh Hóa	9537	Đồng Tiến	1
9	Thanh Hóa	9542	Hợp Tiến	31
9	Thanh Hóa	9550	Thọ Bình	16
9	Thanh Hóa	9553	Thọ Ngọc	7
9	Thanh Hóa	9554	Thọ Phú	29
9	Thanh Hóa	9568	Biện Thượng	1
9	Thanh Hóa	9575	Tây Đô	6
9	Thanh Hóa	9581	Định Hòa	2
9	Thanh Hóa	9588	Định Tân	3
9	Thanh Hóa	9594	Yên Định	4
9	Thanh Hóa	9595	Quý Lộc	2
9	Thanh Hóa	9601	Yên Ninh	2
9	Thanh Hóa	9603	Yên Phú	0
9	Thanh Hóa	9609	Yên Trường	1
9	Thanh Hóa	21007	Cẩm Thủy	0
9	Thanh Hóa	21023	Hà Trung	5
9	Thanh Hóa	21026	Lĩnh Toại	1
9	Thanh Hóa	21027	Hoạt Giang	2
9	Thanh Hóa	21031	Hậu Lộc	1
9	Thanh Hóa	21035	Nga Sơn	20
9	Thanh Hóa	21039	Nông Cống	5
9	Thanh Hóa	21041	Lưu Vệ	13
9	Thanh Hóa	21042	Tiên Trang	3
9	Thanh Hóa	21052	Thọ Xuân	14
